Book,Total_Chapters,Chapters_Read,Last_Updated,Pct
Genesis,50,50,Never,100.0
Exodus,40,40,Never,100.0
Leviticus,27,27,Never,100.0
Numbers,36,36,Never,100.0
Deuteronomy,34,34,Never,100.0
Joshua,24,24,2026-02-12 17:54,100.0
Judges,21,21,2026-02-17 17:45,100.0
Ruth,4,4,2026-02-17 17:45,100.0
1 Samuel,31,31,2026-02-23 18:00,100.0
2 Samuel,24,24,2026-02-28 10:58,100.0
1 Kings,22,22,2026-03-04 18:30,100.0
2 Kings,25,25,2026-03-09 18:03,100.0
1 Chronicles,29,29,2026-03-15 11:37,86.2
2 Chronicles,36,0,Never,0.0
Ezra,10,0,Never,0.0
Nehemiah,13,0,Never,0.0
Esther,10,0,Never,0.0
Job,42,0,Never,0.0
Psalms,150,0,Never,0.0
Proverbs,31,0,Never,0.0
Ecclesiastes,12,0,Never,0.0
Song of Solomon,8,0,Never,0.0
Isaiah,66,0,Never,0.0
Jeremiah,52,0,Never,0.0
Lamentations,5,0,Never,0.0
Ezekiel,48,0,Never,0.0
Daniel,12,0,Never,0.0
Hosea,14,0,Never,0.0
Joel,3,0,Never,0.0
Amos,9,0,Never,0.0
Obadiah,1,0,Never,0.0
Jonah,4,0,Never,0.0
Micah,7,0,Never,0.0
Nahum,3,0,Never,0.0
Habakkuk,3,0,Never,0.0
Zephaniah,3,0,Never,0.0
Haggai,2,0,Never,0.0
Zechariah,14,0,Never,0.0
Malachi,4,0,Never,0.0
Matthew,28,0,Never,0.0
Mark,16,0,Never,0.0
Luke,24,0,Never,0.0
John,21,0,Never,0.0
Acts,28,0,Never,0.0
Romans,16,0,Never,0.0
1 Corinthians,16,0,Never,0.0
2 Corinthians,13,0,Never,0.0
Galatians,6,0,Never,0.0
Ephesians,6,0,Never,0.0
Philippians,4,0,Never,0.0
Colossians,4,0,Never,0.0
1 Thessalonians,5,0,Never,0.0
2 Thessalonians,3,0,Never,0.0
1 Timothy,6,0,Never,0.0
2 Timothy,4,0,Never,0.0
Titus,3,0,Never,0.0
Philemon,1,0,Never,0.0
Hebrews,13,0,Never,0.0
James,5,0,Never,0.0
1 Peter,5,0,Never,0.0
2 Peter,3,0,Never,0.0
1 John,5,0,Never,0.0
2 John,1,0,Never,0.0
3 John,1,0,Never,0.0
Jude,1,0,Never,0.0
Revelation,22,0,Never,0.0
