Day,Date,Passage,Status,Notes
1,2026-01-01,Day 1 Assignment,Read,
2,2026-01-02,Day 2 Assignment,Read,
3,2026-01-03,Day 3 Assignment,Read,
4,2026-01-04,Day 4 Assignment,Read,
5,2026-01-05,Day 5 Assignment,Read,
6,2026-01-06,Day 6 Assignment,Read,
7,2026-01-07,Day 7 Assignment,Read,
8,2026-01-08,Day 8 Assignment,Read,
9,2026-01-09,Day 9 Assignment,Read,
10,2026-01-10,Day 10 Assignment,Read,
11,2026-01-11,Day 11 Assignment,Read,
12,2026-01-12,Day 12 Assignment,Read,
13,2026-01-13,Day 13 Assignment,Read,
14,2026-01-14,Day 14 Assignment,Read,
15,2026-01-15,Day 15 Assignment,Read,
16,2026-01-16,Day 16 Assignment,Read,
17,2026-01-17,Day 17 Assignment,Read,
18,2026-01-18,Day 18 Assignment,Read,
19,2026-01-19,Day 19 Assignment,Read,
20,2026-01-20,Day 20 Assignment,Read,
21,2026-01-21,Day 21 Assignment,Read,
22,2026-01-22,Day 22 Assignment,Read,
23,2026-01-23,Day 23 Assignment,Read,
24,2026-01-24,Day 24 Assignment,Read,
25,2026-01-25,Day 25 Assignment,Read,
26,2026-01-26,Day 26 Assignment,Read,
27,2026-01-27,Day 27 Assignment,Read,
28,2026-01-28,Day 28 Assignment,Read,
29,2026-01-29,Day 29 Assignment,Read,
30,2026-01-30,Day 30 Assignment,Read,
31,2026-01-31,Day 31 Assignment,Read,
32,2026-02-01,Day 32 Assignment,Read,
33,2026-02-02,Day 33 Assignment,Read,
34,2026-02-03,Day 34 Assignment,Read,
35,2026-02-04,Day 35 Assignment,Read,
36,2026-02-05,Day 36 Assignment,Read,
37,2026-02-06,Day 37 Assignment,Read,
38,2026-02-07,Day 38 Assignment,Read,
39,2026-02-08,Day 39 Assignment,Read,
40,2026-02-09,Day 40 Assignment,Read,
41,2026-02-10,Day 41 Assignment,Read,
42,2026-02-11,Day 42 Assignment,Read,
43,2026-02-12,Day 43 Assignment,Read,
44,2026-02-13,Day 44 Assignment,Read,
45,2026-02-14,Day 45 Assignment,Read,
46,2026-02-15,Day 46 Assignment,Read,
47,2026-02-16,Day 47 Assignment,Read,
48,2026-02-17,Day 48 Assignment,Read,
49,2026-02-18,Day 49 Assignment,Read,
50,2026-02-19,Day 50 Assignment,Read,
51,2026-02-20,Day 51 Assignment,Read,
52,2026-02-21,Day 52 Assignment,Read,
53,2026-02-22,Day 53 Assignment,Read,
54,2026-02-23,Day 54 Assignment,Read,
55,2026-02-24,Day 55 Assignment,Read,
56,2026-02-25,Day 56 Assignment,Read,
57,2026-02-26,Day 57 Assignment,Read,
58,2026-02-27,Day 58 Assignment,Read,
59,2026-02-28,Day 59 Assignment,Read,
60,2026-03-01,Day 60 Assignment,Read,
61,2026-03-02,Day 61 Assignment,Read,
62,2026-03-03,Day 62 Assignment,Read,
63,2026-03-04,Day 63 Assignment,Read,
64,2026-03-05,Day 64 Assignment,Read,
65,2026-03-06,Day 65 Assignment,Pending,
66,2026-03-07,Day 66 Assignment,Pending,
67,2026-03-08,Day 67 Assignment,Pending,
68,2026-03-09,Day 68 Assignment,Pending,
69,2026-03-10,Day 69 Assignment,Pending,
70,2026-03-11,Day 70 Assignment,Pending,
71,2026-03-12,Day 71 Assignment,Pending,
72,2026-03-13,Day 72 Assignment,Pending,
73,2026-03-14,Day 73 Assignment,Pending,
74,2026-03-15,Day 74 Assignment,Pending,
75,2026-03-16,Day 75 Assignment,Pending,
76,2026-03-17,Day 76 Assignment,Pending,
77,2026-03-18,Day 77 Assignment,Pending,
78,2026-03-19,Day 78 Assignment,Pending,
79,2026-03-20,Day 79 Assignment,Pending,
80,2026-03-21,Day 80 Assignment,Pending,
81,2026-03-22,Day 81 Assignment,Pending,
82,2026-03-23,Day 82 Assignment,Pending,
83,2026-03-24,Day 83 Assignment,Pending,
84,2026-03-25,Day 84 Assignment,Pending,
85,2026-03-26,Day 85 Assignment,Pending,
86,2026-03-27,Day 86 Assignment,Pending,
87,2026-03-28,Day 87 Assignment,Pending,
88,2026-03-29,Day 88 Assignment,Pending,
89,2026-03-30,Day 89 Assignment,Pending,
90,2026-03-31,Day 90 Assignment,Pending,
91,2026-04-01,Day 91 Assignment,Pending,
92,2026-04-02,Day 92 Assignment,Pending,
93,2026-04-03,Day 93 Assignment,Pending,
94,2026-04-04,Day 94 Assignment,Pending,
95,2026-04-05,Day 95 Assignment,Pending,
96,2026-04-06,Day 96 Assignment,Pending,
97,2026-04-07,Day 97 Assignment,Pending,
98,2026-04-08,Day 98 Assignment,Pending,
99,2026-04-09,Day 99 Assignment,Pending,
100,2026-04-10,Day 100 Assignment,Pending,
101,2026-04-11,Day 101 Assignment,Pending,
102,2026-04-12,Day 102 Assignment,Pending,
103,2026-04-13,Day 103 Assignment,Pending,
104,2026-04-14,Day 104 Assignment,Pending,
105,2026-04-15,Day 105 Assignment,Pending,
106,2026-04-16,Day 106 Assignment,Pending,
107,2026-04-17,Day 107 Assignment,Pending,
108,2026-04-18,Day 108 Assignment,Pending,
109,2026-04-19,Day 109 Assignment,Pending,
110,2026-04-20,Day 110 Assignment,Pending,
111,2026-04-21,Day 111 Assignment,Pending,
